product,buy,sell,net,mark
VELVETFRUIT_EXTRACT,1417.0,1375.0,42.0,Mark 01
VEV_5200,34.0,0.0,34.0,Mark 01
VEV_5300,439.0,0.0,439.0,Mark 01
VEV_5400,911.0,0.0,911.0,Mark 01
VEV_5500,1042.0,0.0,1042.0,Mark 01
VEV_6000,1105.0,0.0,1105.0,Mark 01
VEV_6500,1105.0,0.0,1105.0,Mark 01
HYDROGEL_PACK,1989.0,2033.0,-44.0,Mark 14
VELVETFRUIT_EXTRACT,1761.0,1763.0,-2.0,Mark 14
VEV_4000,458.0,412.0,46.0,Mark 14
VEV_5200,122.0,0.0,122.0,Mark 14
VEV_5300,105.0,0.0,105.0,Mark 14
VEV_5400,48.0,0.0,48.0,Mark 14
VEV_5500,27.0,0.0,27.0,Mark 14
HYDROGEL_PACK,42.0,32.0,10.0,Mark 22
VELVETFRUIT_EXTRACT,146.0,697.0,-551.0,Mark 22
VEV_4000,3.0,3.0,0.0,Mark 22
VEV_4500,3.0,3.0,0.0,Mark 22
VEV_5000,3.0,3.0,0.0,Mark 22
VEV_5100,3.0,3.0,0.0,Mark 22
VEV_5200,3.0,159.0,-156.0,Mark 22
VEV_5300,3.0,545.0,-542.0,Mark 22
VEV_5400,0.0,959.0,-959.0,Mark 22
VEV_5500,0.0,1069.0,-1069.0,Mark 22
VEV_6000,0.0,1105.0,-1105.0,Mark 22
VEV_6500,0.0,1105.0,-1105.0,Mark 22
HYDROGEL_PACK,2065.0,2031.0,34.0,Mark 38
VEV_4000,415.0,461.0,-46.0,Mark 38
VEV_4500,3.0,3.0,0.0,Mark 38
VEV_5000,3.0,3.0,0.0,Mark 38
VEV_5100,3.0,3.0,0.0,Mark 38
VEV_5200,3.0,3.0,0.0,Mark 38
VEV_5300,1.0,3.0,-2.0,Mark 38
VELVETFRUIT_EXTRACT,115.0,1071.0,-956.0,Mark 49
VELVETFRUIT_EXTRACT,3254.0,3297.0,-43.0,Mark 55
VELVETFRUIT_EXTRACT,1510.0,0.0,1510.0,Mark 67
