product,mean_spread,median_spread,min_spread,max_spread,mean_mid,std_mid,mean_bid_vol1,mean_ask_vol1
HYDROGEL_PACK,15.727933333333333,16.0,7,17,9994.6543,34.623271083767115,12.414066666666667,12.411766666666667
VELVETFRUIT_EXTRACT,4.982433333333334,5.0,1,6,5247.648716666667,18.077108482315875,37.811,37.72976666666667
VEV_4000,20.7535,21.0,9,22,1247.65655,18.10125241363511,10.917733333333333,10.9119
VEV_4500,15.793833333333334,16.0,7,17,747.65675,18.092357011094602,8.9525,8.945166666666667
VEV_5000,5.9642333333333335,6.0,2,7,251.14458333333334,17.455525691662725,15.540766666666666,15.666933333333333
VEV_5100,4.1744,4.0,1,6,160.8633,16.127374745564442,19.5547,19.566533333333332
VEV_5200,2.757833333333333,3.0,1,4,88.99348333333333,13.346963596550012,22.8097,22.808233333333334
VEV_5300,1.9730666666666667,2.0,1,3,41.1763,9.143022192095827,20.512166666666666,20.535533333333333
VEV_5400,1.3040333333333334,1.0,1,2,12.629783333333334,4.149325870937238,21.906533333333332,21.8759
VEV_5500,1.1087666666666667,1.0,1,2,4.707783333333333,2.205254299305688,22.276433333333333,22.2841
VEV_6000,1.0,1.0,1,1,0.5,0.0,22.4853,22.489
VEV_6500,1.0,1.0,1,1,0.5,0.0,15.4954,15.4991
